artista	danceability	duration	enery	key	liveness	loudness	mode	speechiness	tempo	time_signature	genre
d	c	c	c	d	c	c	d	c	c	d	d	d
Sodom	0.44301	190.50667	0.709672	11	0.455254	-13.484	0	0.046097	84.077	4	metal	
Mortal Sin	0.239601	140.78667	0.844686	8	0.357883	-8.122	0	0.061652	112.259	4	metal	
Overkill	0.36455	459.93333	0.924812	0	0.361225	-6.953	1	0.077423	110.824	4	metal	
Heaven & Hell	0.224014	244.6	0.946731	0	0.921596	-8.197	0	0.118081	143.889	4	metal	
Entombed	0.360191	284.73333	0.887982	7	0.186275	-8.04	1	0.093907	85.265	4	metal	
Anvil	0.405385	192.6	0.923924	5	0.16096	-4.198	1	0.054948	121.292	4	metal	
Jag Panzer	0.50052	178.85333	0.963942	8	0.073143	-4.981	1	0.10323	139.982	4	metal	
Annihilator	0.542359	315.54667	0.97635	7	0.357811	-6.037	1	0.090252	135.019	4	metal	
Testament	0.371551	256.0	0.987629	1	0.204452	-8.957	1	0.053439	110.094	3	metal	
Iced Earth	0.28064	575.58667	0.952364	1	0.18202	-7.737	0	0.368648	195.059	4	metal	
Death	0.329038	253.10667	0.922661	6	0.064399	-6.02	0	0.079364	132.677	3	metal	
Mercyful Fate	0.284395	310.42667	0.980191	4	0.359558	-3.642	0	0.088933	138.506	4	metal	
Celtic Frost	0.235288	208.73333	0.9302	11	0.138141	-7.01	0	0.051561	141.816	4	metal	
Testament	0.451303	161.05333	0.970076	1	0.069846	-7.887	1	0.05028	120.925	4	metal	
Bruce Dickinson	0.235277	507.62667	0.939736	2	0.965906	-5.613	0	0.163179	139.868	4	metal	
Crematory	0.531598	265.30667	0.980402	0	0.056145	-4.856	0	0.054902	74.994	4	metal	
Megadeth	0.32486	392.6	0.985352	11	0.351254	-3.941	1	0.150789	125.307	4	metal	
Judas Priest	0.331673	432.77333	0.910008	9	0.950891	-5.37	1	0.099187	87.416	4	metal	
Nevermore	0.225024	231.13333	0.975091	10	0.297481	-4.7	0	0.119991	105.288	3	metal	
Celtic Frost	0.241672	218.26667	0.966072	2	0.382743	-6.51	1	0.108639	99.048	4	metal	
Overkill	0.36455	459.93333	0.924812	0	0.361225	-6.953	1	0.077423	110.824	4	metal	
Virgin Steele	0.377399	593.22621	0.861316	2	0.146982	-4.762	0	0.041732	156.241	4	metal	
Halford	0.489658	166.98667	0.907209	1	0.135076	-4.245	1	0.051213	79.751	4	metal	
Communic	0.208727	540.13388	0.979795	10	0.163365	-4.309	1	0.124341	83.023	4	metal	
King Diamond	0.368582	188.06667	0.987157	7	0.625996	-6.09	1	0.084748	79.652	4	metal	
Hirax	0.269694	218.85333	0.94536	2	0.137572	-5.981	1	0.112621	99.326	4	metal	
Nevermore	0.512816	355.82667	0.839453	8	0.083758	-4.99	1	0.034299	128.058	4	metal	
Mercyful Fate	0.25395	270.53333	0.944774	2	0.257353	-5.516	1	0.135069	95.282	4	metal	
Megadeth	0.376524	231.86667	0.97134	2	0.22297	-2.526	1	0.158903	173.015	4	metal	
Beyond Fear	0.471702	333.74667	0.991018	2	0.391685	-4.248	0	0.094585	107.494	4	metal	
Megadeth	0.402635	262.03147	0.987795	2	0.266244	-3.841	1	0.452169	155.057	4	metal	
Judas Priest	0.433615	365.10667	0.977397	1	0.274623	-6.751	0	0.146327	103.205	4	metal	
Mercyful Fate	0.208882	299.0	0.987338	4	0.179664	-2.052	0	0.130647	137.326	4	metal	
Metal Church	0.321841	380.64	0.816453	3	0.239818	-11.939	1	0.057783	115.547	4	metal	
Grave Digger	0.600015	221.17333	0.896555	9	0.118065	-6.034	1	0.038425	120.014	4	metal	
Ozzy Osbourne	0.588429	239.84	0.949247	5	0.216266	-3.184	1	0.064589	137.942	4	metal	
Doro Pesch	0.495452	291.44	0.75168	6	0.135226	-9.115	1	0.033117	81.905	4	metal	
Sentenced	0.532645	241.26667	0.892249	7	0.093401	-5.415	0	0.069126	135.111	4	metal	
Slayer	0.493522	280.36	0.981162	8	0.132586	-4.097	0	0.133677	106.821	4	metal	
Kreator	0.26412	298.77333	0.972028	4	0.291081	-7.512	0	0.129932	94.781	4	metal	
Wizard	0.770019	184.58159	0.800279	11	0.357606	-5.398	1	0.181055	119.951	4	metal	
Megadeth	0.402635	262.03147	0.987795	2	0.266244	-3.841	1	0.452169	155.057	4	metal	
King Diamond	0.317961	290.73333	0.937323	4	0.353787	-5.248	1	0.062129	146.75	4	metal	
Megadeth	0.402635	262.03147	0.987795	2	0.266244	-3.841	1	0.452169	155.057	4	metal	
Megadeth	0.191154	299.11093	0.989241	10	0.097408	-2.904	0	0.566357	175.017	4	metal	
Manowar	0.454003	230.02667	0.860135	9	0.26142	-5.415	0	0.089304	172.545	4	metal	
Helloween	0.286505	817.85333	0.872846	0	0.140926	-8.591	1	0.06955	125.401	4	metal	
Manticora	0.328157	354.76	0.994742	8	0.091587	-3.831	0	0.128501	149.918	4	metal	
Venom	0.428582	61.0	0.720171	2	0.068124	-12.082	1	0.29082	72.117	5	metal	
Fight	0.677047	276.30667	0.635156	0	0.15396	-8.521	1	0.040901	128.02	4	metal	
Accept	0.440848	252.26667	0.906073	4	0.243433	-8.262	0	0.058451	145.325	4	metal	
Black Sabbath	0.332215	474.35982	0.623109	9	0.277638	-12.365	0	0.080295	182.63	4	metal	
Dio	0.500513	253.98667	0.868945	9	0.048427	-9.285	0	0.034203	117.578	4	metal	
King Diamond	0.498098	313.05333	0.875898	11	0.068674	-6.94	0	0.046675	102.082	4	metal	
Machine Head	0.364822	312.98667	0.951289	11	0.119968	-3.528	0	0.182138	92.902	4	metal	
Motrhead	0.289644	189.46667	0.969977	1	0.074841	-5.557	1	0.075998	132.47	4	metal	
Sepultura	0.427872	212.25333	0.87448	4	0.311252	-6.664	0	0.127778	119.708	4	metal	
Annihilator	0.425587	290.26667	0.847176	2	0.4889	-6.256	1	0.042596	90.026	4	metal	
Skid Row	0.533178	199.16	0.814499	7	0.413749	-8.064	0	0.051589	117.346	4	metal	
Metalium	0.3957	225.34667	0.987829	11	0.080292	-3.529	1	0.075792	170.241	4	metal	
Metal Church	0.353236	400.99955	0.744131	1	0.09292	-13.811	1	0.108442	113.951	4	metal	
Dio	0.472645	271.82667	0.905045	0	0.166559	-9.15	0	0.053059	118.426	4	metal	
Voivod	0.073907	256.66667	0.960369	11	0.339309	-3.384	0	0.191278	78.862	4	metal	
Venom	0.430393	281.16	0.731369	4	0.31783	-12.396	0	0.049868	110.752	4	metal	
Sepultura	0.402732	255.49333	0.954254	9	0.270067	-5.727	1	0.113013	126.538	4	metal	
Fear Factory	0.461491	328.29333	0.977237	7	0.32063	-3.008	1	0.126103	182.974	4	metal	
Celtic Frost	0.273448	315.8	0.930934	9	0.291982	-7.915	1	0.059589	114.356	4	metal	
Witchery	0.36051	161.56	0.984688	3	0.090812	-5.091	1	0.078854	151.553	4	metal	
Nevermore	0.512816	355.82667	0.839453	8	0.083758	-4.99	1	0.034299	128.058	4	metal	
Manilla Road	0.444026	681.73333	0.759712	5	0.178953	-7.806	1	0.035648	126.983	4	metal	
Slayer	0.322715	291.0	0.997328	1	0.093357	-2.414	1	0.161383	104.741	4	metal	
Venom	0.428582	61.0	0.720171	2	0.068124	-12.082	1	0.29082	72.117	5	metal	
Iced Earth	0.600793	311.70667	0.609005	6	0.065084	-9.666	1	0.031247	120.191	4	metal	
Sentenced	0.484839	240.54667	0.936598	2	0.115014	-5.533	0	0.055488	89.997	4	metal	
SuidAkrA	0.207938	256.45333	0.879903	3	0.136934	-4.748	1	0.094779	129.992	4	metal	
King Diamond	0.540435	328.58667	0.948463	10	0.24944	-6.03	0	0.048002	107.406	4	metal	
Jag Panzer	0.359764	315.05333	0.78792	1	0.041709	-7.641	1	0.05108	74.877	4	metal	
Annihilator	0.542359	315.54667	0.97635	7	0.357811	-6.037	1	0.090252	135.019	4	metal	
Mercyful Fate	0.339068	260.38667	0.863326	4	0.150307	-5.623	0	0.042231	141.927	4	metal	
Accept	0.311102	257.89333	0.81694	3	0.360084	-8.041	0	0.068945	90.985	4	metal	
Anvil	0.354886	212.88	0.938012	2	0.103711	-7.737	1	0.069998	146.142	4	metal	
Saxon	0.529941	357.65333	0.832211	8	0.343237	-6.121	1	0.053316	131.486	4	metal	
Blind Guardian	0.481895	319.36667	0.501667	8	0.250874	-10.455	0	0.024642	80.002	3	metal	
Slayer	0.263486	215.62667	0.993743	8	0.324879	-3.673	1	0.234331	102.663	4	metal	
Black Label Society	0.601014	194.93333	0.854375	5	0.408804	-4.696	0	0.035814	107.03	4	metal	
Accept	0.282378	220.30667	0.995407	4	0.406174	-8.676	0	0.089335	124.928	4	metal	
Slayer	0.38324	223.09333	0.96395	11	0.079101	-5.604	1	0.111487	95.667	4	metal	
Stormtroopers Of Death	0.158308	888.45288	0.968537	6	0.129615	-7.555	1	0.143745	80.882	4	metal	
Vader	0.483364	143.85333	0.988022	2	0.304024	-4.541	1	0.130426	139.947	4	metal	
Entombed	0.277202	198.13333	0.961829	7	0.063287	-6.216	1	0.109631	113.573	4	metal	
Sepultura	0.47492	199.22667	0.953186	2	0.10374	-6.95	1	0.146887	118.033	4	metal	
Exodus	0.258002	289.84	0.881627	0	0.136031	-5.084	1	0.151159	172.301	4	metal	
Saxon	0.40612	301.56	0.97528	1	0.097306	-4.281	0	0.071835	68.025	4	metal	
Trivium	0.229393	291.21333	0.98835	10	0.094864	-3.475	1	0.115801	144.96	4	metal	
Annihilator	0.425587	290.26667	0.847176	2	0.4889	-6.256	1	0.042596	90.026	4	metal	
Judas Priest	0.511614	308.26667	0.820163	6	0.14554	-7.125	0	0.048429	138.204	4	metal	
Grim Reaper	0.339337	239.76	0.984094	9	0.240152	-6.187	0	0.189816	91.177	4	metal	
Prong	0.549199	159.86667	0.981977	1	0.092298	-4.252	0	0.085554	105.028	4	metal	
Reverend	0.342742	237.13333	0.946475	7	0.208471	-11.611	1	0.051295	163.267	4	metal	
Rob Halford	0.355325	195.44771	0.755195	2	0.148595	-16.402	1	0.042997	203.816	4	metal	
Heaven & Hell	0.315834	371.96	0.914602	7	0.861176	-5.436	1	0.083077	135.345	4	metal	
Entombed	0.277202	198.13333	0.961829	7	0.063287	-6.216	1	0.109631	113.573	4	metal	
Mercyful Fate	0.284395	310.42667	0.980191	4	0.359558	-3.642	0	0.088933	138.506	4	metal	
Halford	0.502432	186.18667	0.942473	2	0.054647	-4.46	1	0.068893	135.955	4	metal	
Metal Church	0.579161	396.01333	0.990588	11	0.153683	-6.182	0	0.054306	112.976	4	metal	
Gillan	0.158743	373.36	0.894418	9	0.092654	-8.214	1	0.190164	170.923	4	metal	
Helloween	0.385275	308.78667	0.932456	0	0.278893	-7.123	1	0.084139	157.05	4	metal	
Iron Maiden	0.288059	250.68	0.856508	4	0.71255	-6.77	0	0.06412	161.918	4	metal	
Black Label Society	0.410727	244.4	0.765522	4	0.1338	-4.877	1	0.030041	141.171	4	metal	
